,F1,F2,F3,F4
Abrupt Control Flow,-0.08477591007284352,0.04169339126538553,0.0015829603537956172,0.42166225939456575
Chapin Q,0.2591957144335436,0.6315371740779968,0.2039033746738908,0.5133393271886972
Conditional Complexity,0.0073115306173288175,0.3584219298244473,0.04934604735209044,0.822139626684228
Conditional Statements,0.0012904709870148695,0.4118237917493326,0.03151939597001597,0.7705918557609726
Cyclomatic Complexity,0.010677556769308098,0.33678821140007825,0.044074962904406836,0.9409687249458262
Halstead Total Operators,0.3778943433392914,0.7954155977324355,0.2374344980875574,0.07697364766465897
Halstead Total Operands,0.24046777325048133,0.8381873254170009,0.10498462896212697,0.23304738379673032
Halstead Bugs,0.22203688071114888,0.9288601069734352,0.07448868460067876,0.228276336064948
Halstead Difficulty,0.18096805506684918,0.7496509924996191,0.147511890558827,0.40237013480949546
Halstead Effort,0.1504365576516099,0.9019675920059067,4.280624960757451e-05,0.1307242212422491
Halstead Length,0.34803168776974486,0.893538459206374,0.20047896834508006,0.13866223740029596
Halstead Distinct Operators,0.20866733518340075,0.6392560397028297,0.25083409634997506,0.30911714496548887
Halstead Distinct Operands,0.325649775633374,0.6617684588860329,0.2056544528853958,0.18777169482925485
Halstead Time,0.15043655810706374,0.9019675907042458,4.280674510870519e-05,0.13072422182584165
Halstead Vocabulary,0.3004310757609695,0.7608050372519838,0.26629492466304483,0.2912060732898456
Halstead Volume,0.3156110203666004,0.9238017811685467,0.13205775489223381,0.13426688754784966
Labeled Blocks,0.004508340068274525,-0.014433472738353294,0.027272886001514656,0.38812338663342133
Local Variables,0.3381600400169098,0.4957015754571073,0.2549173542174821,-0.0512811314459323
Pivovarsky N(G),0.003672459025367382,0.27253697399468746,0.04138033548053791,0.96084122609045
Program Size,0.4017327997302546,0.7375722280413366,0.28381679290885475,0.1791963802590407
CE,0.8642687831507375,0.2921744751375426,-0.22129346562189273,-0.08363314316011959
KL,0.48035393148065575,-0.24257187339791206,-0.8135372032936117,-0.0886120458281366
PPL,0.8169811041821157,0.27236401057881965,-0.38915343917776035,-0.1063639380167514
NID,0.36906568473388,-0.3161062779263742,-0.7942871711763657,-0.10005399043954351
Hcond,0.7829763983958014,0.30612710507501717,0.28551982466518466,0.02633948723163352
CE_1gram,0.8642687808793442,0.29217447495232396,-0.22129346386282317,-0.0836331426158483
CE_2gram,0.9213338357940939,0.33894495837209376,0.09258741331683436,-0.038669128939501925
CE_3gram,0.9175955758263075,0.3353449690550664,0.14883010560009308,0.022433115721446982
CE_4gram,0.9312520937170713,0.29568126350982576,0.1905042255282465,0.03977325087009992
CE_5gram,0.9423839637482446,0.2423132077255232,0.1821542213790937,0.04104999511405736
CE_6gram,0.9546710400562374,0.2114581861192132,0.11984738160008065,0.04678707515211169
CE_7gram,0.9536120763166633,0.19628186701799677,0.09918801436568606,0.05601963993420107
CE_8gram,0.6913106154643301,0.18470816005647836,0.42684785080376675,0.06090374749241946
CE_9gram,0.3087022198210372,0.19767033061318295,0.9018095426383309,0.0410713388592125
CE_10gram,0.2991995146770629,0.19160688351810362,0.903088688135471,0.04132898209106924
CE_11gram,0.2882102023568363,0.1834971080844503,0.9028862474530469,0.039563159159022324
