Metric1,Metric2,r
CE,CE_1gram,1.0
CE,CE_2gram,0.958495655024095
CE,CE_3gram,0.9285464239230892
CE,CE_4gram,0.904818851103061
CE,CE_5gram,0.8815811965515055
CE,CE_6gram,0.8565907203101156
CE,KL,0.9944722829967795
CE,KL,0.9944722829967795
CE,NID,0.7259804652496905
CE,NID,0.7259804652496905
CE,Hcond,0.7791447426958503
CE,Hcond,0.7791447426958503
CE,CE_1gram,1.0
CE,CE_2gram,0.9584956550240948
CE,CE_3gram,0.9285464239230892
CE,CE_4gram,0.904818851103061
CE,CE_5gram,0.8815811965515055
CE,CE_6gram,0.8565907203101156
CE,KL,0.9944722829967795
CE,KL,0.9944722829967795
CE,NID,0.7259804652496903
CE,NID,0.7259804652496905
CE,Hcond,0.7791447426958503
CE,Hcond,0.7791447426958503
KL,CE_1gram,0.9944722829967795
KL,CE_2gram,0.9411740790430901
KL,CE_3gram,0.9131090343411963
KL,CE_4gram,0.892929384969479
KL,CE_5gram,0.8780912773885637
KL,CE_6gram,0.8524868190272901
KL,CE,0.9944722829967795
KL,CE,0.9944722829967795
KL,NID,0.7823331055863733
KL,NID,0.7823331055863733
KL,Hcond,0.7575202841447302
KL,Hcond,0.7575202841447302
KL,CE_1gram,0.9944722829967795
KL,CE_2gram,0.9411740790430901
KL,CE_3gram,0.9131090343411963
KL,CE_4gram,0.892929384969479
KL,CE_5gram,0.8780912773885635
KL,CE_6gram,0.8524868190272903
KL,CE,0.9944722829967795
KL,CE,0.9944722829967795
KL,NID,0.7823331055863733
KL,NID,0.7823331055863733
KL,Hcond,0.7575202841447302
KL,Hcond,0.7575202841447302
NID,CE_1gram,0.7259804652496903
NID,CE,0.7259804652496905
NID,CE,0.7259804652496903
NID,KL,0.7823331055863733
NID,KL,0.7823331055863733
NID,CE_1gram,0.7259804652496905
NID,CE,0.7259804652496905
NID,CE,0.7259804652496905
NID,KL,0.7823331055863733
NID,KL,0.7823331055863733
Hcond,CE_1gram,0.7791447426958503
Hcond,CE_2gram,0.9155154324908259
Hcond,CE_3gram,0.9290588401510627
Hcond,CE_4gram,0.9194842132439425
Hcond,CE_5gram,0.9014125216980466
Hcond,CE_6gram,0.8877344631281604
Hcond,CE,0.7791447426958503
Hcond,CE,0.7791447426958503
Hcond,KL,0.7575202841447302
Hcond,KL,0.7575202841447302
Hcond,CE_1gram,0.7791447426958503
Hcond,CE_2gram,0.9155154324908257
Hcond,CE_3gram,0.9290588401510629
Hcond,CE_4gram,0.9194842132439425
