model,CondE,Conditional Complexity,Halstead Distinct Operators,JSD,KL,LM_CE,LM_CondE,LM_KL,case_count,euclidean_cov,manhattan_cov,cosine_cov,chebyshev_cov,euclidean,manhattan,cosine,chebyshev,repo_count
deepseek-coder-1.3b-instruct-KExercises-KStack-clean-bytecode-4bit-lora,5.9809716186882245,0.0,2.0,0.43493148994441905,5.376622898794053,10.26496570487603,2.2521361557969835,6.1529160910102485,90,9.019882114982856,14.546972306978219,0.1834912911830575,6.645524020764694,8.117893903484571,13.092275076280398,0.16514216206475174,5.9809716186882245,90
Qwen2.5-Coder-0.5B-Instruct-KExercises-KStack-clean-bytecode-4bit-lora,6.76302260113635,0.0,2.0,0.44576205995643925,5.867667970422871,10.174387957648305,2.2467053465836178,6.05603845903111,90,10.025922324452353,16.01848201660073,0.2179257751436234,7.514469556818167,9.023330092007118,14.416633814940656,0.19613319762926107,6.76302260113635,90
Qwen2.5-Coder-7B-Instruct,8.288369598737393,0.0,3.0,0.4643298722573243,6.565345272114721,9.355184228060708,2.469921285861369,5.176165876824838,95,11.23226654943337,18.240910582807068,0.2828173360914278,8.724599577618308,10.670653221961702,17.328865053666714,0.2686764692868564,8.288369598737393,92
Qwen2.5-Coder-3B-Instruct,8.29330106470914,0.0,2.0,0.5022663743558465,6.460295217691332,8.776694655504123,1.8498604760316129,4.838935001053493,95,11.34228449436658,20.639668916689605,0.31434397068560277,8.729790594430675,10.775170269648251,19.607685470855124,0.2986267721513226,8.29330106470914,92
deepseek-coder-1.3b-instruct,8.369921587971051,0.0,2.0,0.4977518909097452,6.2006550104397,8.246758834408247,0.5889608086943083,4.084453288794299,95,11.598149171130368,23.121545793801758,0.3539877212507073,8.810443776811633,11.018241712573849,21.96546850411167,0.3362883351881719,8.369921587971051,92
deepseek-coder-1.3B-kexer,8.049248730086653,0.0,3.0,0.5014897569202956,7.419273321143553,9.317352368636389,2.1384839597805003,5.295748567886194,88,12.544147964613089,20.495158930153917,0.3198367173629448,9.14687355691665,11.038850208859518,18.035739858535447,0.2814563112793914,8.049248730086653,88
CodeLlama-7B-KStack,9.01519538971566,0.0,2.0,0.4767616343967151,6.402278541658415,8.595738278520223,1.3151775081723156,4.635705945296436,97,11.746511746439978,21.81951214481427,0.3398735306137261,9.294015865686246,11.394116394046778,21.16492678046984,0.3296773246953143,9.01519538971566,94
Qwen2.5-Coder-3B,8.509661804815295,0.0,3.0,0.4946115036697367,7.928874406141724,8.95591711126812,2.151574674592933,4.986904845309192,91,12.944510311147583,21.600070362796195,0.34878197800640304,9.351276708588236,11.779504383144301,19.656064030144538,0.3173915999858268,8.509661804815295,91
CodeLlama-7b-hf,9.228858589867988,0.0,2.0,0.4767616343967151,6.402278541658415,8.595738278520223,1.3151775081694346,4.635705945296436,97,11.921554778502168,22.039783485180465,0.34581966683348264,9.514287206049472,11.563908135147102,21.37858998062505,0.33544507682847813,9.228858589867988,94
CodeLlama-7B-KStack-clean,8.879336223146295,0.0,3.0,0.4802377038838092,7.14476073727504,8.665838024055025,0.9988355042757904,4.540620806506619,93,12.597868094416286,22.70575621092015,0.36012330520253216,9.547673358221822,11.716017327807148,21.116353276155742,0.33491467383835494,8.879336223146295,90
