model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
Qwen2.5-Coder-0.5B-Instruct,0.0,11.361797422920262,0.23404255319148937,9.271436848408968,0.0,0.0,1.0212765957446808,5.8491502780827666e-05,0.06382978723404255,0.10638297872340426,1.2127659574468086,0.2988801862239159,1.351063829787234,0.016604454790217545,0.10638297872340426,1.2446808510638299,1.3191489361702127,0.9000480054188834,0.5179445823150861,7.789863052035784,8.851298333418612,2.121756125966157,0.7730503688434337,5.279353326493608,1213.1466832236185,0.0,0.0851063829787234,12419.115124597034,1.0425531914893618,32.40425531914894
Qwen2.5-Coder-1.5B-Instruct,0.0,10.349072460495819,0.2857142857142857,8.22797074390078,0.0,0.0,1.0204081632653061,6.0326850381402046e-05,0.0663265306122449,0.08163265306122448,1.4285714285714286,0.289381632770801,1.5510204081632653,0.016076757376155607,0.08163265306122448,1.469387755102041,1.510204081632653,1.3417677299376973,0.49675438320611415,6.832974592435531,9.317053328573444,2.9421268215831273,0.7854166797264069,5.800944824459099,1308.2967323928424,0.0,0.11224489795918367,12122.91631840269,1.0408163265306123,31.357142857142858
Mellum-4b-base,0.0,10.298560424863105,0.0,9.081140279701382,0.0,0.0,1.0,4.8434821727805975e-05,0.05970149253731343,0.1044776119402985,0.9104477611940298,0.21656380603473038,1.0298507462686568,0.012031322557485017,0.11940298507462686,0.9104477611940298,1.0149253731343284,0.30611604484070054,0.48494778088758667,6.8370481499452325,8.837527261030313,2.274780674595343,0.7818421448281379,5.376004350023557,664.7756312835088,0.0,0.0,44944.736366932884,1.0,28.46268656716418
deepseek-coder-6.7B-kexer,0.0,8.368201553672412,1.096774193548387,5.307079811698118,0.16129032258064516,0.03225806451612903,1.064516129032258,0.0003468342267194516,0.20161290322580644,0.16129032258064516,1.3548387096774193,5.432937502442625,1.5483870967741935,0.3018298612468125,0.1935483870967742,1.3548387096774193,1.5161290322580645,1.8612661294975201,0.375644781823856,4.676357328087026,9.137235986303896,2.60180401684623,0.7712376830801208,5.445381124636857,696.3291022080223,0.0,0.45161290322580644,9370872.910888495,1.1612903225806452,32.83870967741935
Qwen2.5-Coder-3B,0.0,10.103068862107204,0.81,6.945978698395866,0.01,0.01,1.04,0.000107418743417627,0.0925,0.11,1.21,0.8154453594551305,1.38,0.045302519969729456,0.12,1.26,1.32,1.143729121429753,0.43663419480648485,6.3836540534917114,9.62139543835703,3.0344974371821274,0.7776336204845948,5.901969993695676,1724.8910013763868,0.0,0.33,188482.25699235272,1.08,36.91
Qwen2.5-Coder-7B-Instruct,0.0,10.740677466205756,0.74,7.257423262994833,0.0,0.0,1.0,4.9311145711533005e-05,0.06,0.09,1.2,0.20764662506490403,1.32,0.011535923614716887,0.09,1.23,1.29,0.9126466250649041,0.4566479384710553,6.9255759222049225,10.021423689488559,3.0701077895911273,0.7745447576379643,6.206311509440664,3189.433251786178,0.0,0.37,7944.506547835439,1.0,37.3
deepseek-coder-6.7b-instruct,0.0,9.480980624455833,1.24,6.469303618356276,0.04,0.02,1.02,4.4323013926166e-05,0.045,0.09,1.44,0.22509775004326937,1.56,0.012505430557959406,0.09,1.47,1.53,1.3226466250649043,0.41056265630488753,5.780054025646126,8.95237169181596,2.2380580415984266,0.7700329371444231,5.251434456940863,678.2339301268729,0.0,0.59,10944.476747284869,1.04,33.71
kt_source,0.0,3.851943339585432,1.21,0.41433529178565565,0.01,0.01,1.01,3.6552286804471e-05,0.045,0.09,1.38,0.15009775004326936,1.5,0.00833876389129274,0.09,1.41,1.47,1.2050977500432694,0.0,0.0,11.411529264539375,3.685902697599303,0.7809317410987633,7.559575288776131,4094.5186810118835,0.0,0.59,14.6706267175922,1.02,35.05
deepseek-coder-6.7b-base,0.0,10.074662200753377,0.5098039215686274,8.635272250876818,0.0196078431372549,0.0196078431372549,1.0392156862745099,8.66099098875353e-05,0.058823529411764705,0.0784313725490196,1.1372549019607843,0.7586171570607095,1.2745098039215685,0.04214539761448387,0.0784313725490196,1.196078431372549,1.2156862745098038,0.8057791667656488,0.4910882473227262,6.477533545688259,8.569649896985133,1.6260453060520443,0.7753165103935553,4.972510605896484,491.19549187770036,0.0,0.19607843137254902,8726.247150996749,1.0784313725490196,32.549019607843135
CodeLlama-7b-Instruct-hf,0.0,9.85398133824046,1.13,7.845537542798552,0.04,0.02,1.03,7.9879500966416e-05,0.08,0.12,1.42,0.42849625007211556,1.59,0.02380534722622864,0.12,1.47,1.54,1.534541375165866,0.43719730409957713,6.166116400077916,9.276241257467497,2.898424565345534,0.7706222035464326,5.588365683241952,1308.7928037752686,0.0,0.52,8307.109133281476,1.06,33.9
deepseek-coder-1.3b-instruct,0.0,10.753732997790644,0.84,7.947139365882249,0.0,0.0,1.02,0.000270625757639891,0.19166666666666668,0.17,1.51,3.0392751148662707,1.78,0.16884861749257055,0.2,1.58,1.68,2.04260009066838,0.4660828958660053,7.072843585316657,9.079866296539558,2.3565391534179962,0.7707148358504743,5.398966248021305,878.4700896228601,0.0,0.39,273810.7543271819,1.04,34.74
CodeLlama-7b-hf,0.0,9.83761013021148,1.07,7.752148659576911,0.04,0.02,1.05,0.00018514411416318302,0.11636363636363636,0.23,1.37,1.7964738684387624,1.67,0.09980410380215346,0.24,1.43,1.6,1.9412670377167172,0.4387857993404643,6.157587880886102,9.209436252082092,2.988109075096324,0.7712921021408691,5.52940336670129,1225.2380883255746,0.0,0.46,16271420.811728863,1.1,34.25
CodeLlama-7B-KStack-clean,0.0,10.40830539279071,1.03,8.076898765659754,0.07,0.03,1.05,0.000239170419122069,0.14636363636363636,0.26,1.39,2.4641204935036667,1.72,0.13689558297242593,0.28,1.44,1.65,2.2071166627239287,0.4569598789259232,6.729891753227474,9.019424414940056,2.522221374320304,0.7703738551391852,5.341000139330159,855.099649505876,0.0,0.44,18561715.7732201,1.1,34.34
deepseek-coder-1.3B-kexer,0.0,11.157872863051251,1.5473684210526315,6.865781903651809,0.0,0.0,1.0315789473684212,0.00032243027026650526,0.18038277511961723,0.3368421052631579,1.5894736842105264,3.3943174301128813,2.2,0.18857319056182673,0.37894736842105264,1.8210526315789475,1.9263157894736842,3.20969904715415,0.4475116082893346,7.342215054952672,10.596687073234856,3.5526102414353846,0.7718674133297279,6.781018629099917,5997.769539786232,0.0,0.7263157894736842,18122993.089627024,1.063157894736842,38.56842105263158
CodeLlama-7B-KStack,0.0,9.762569616311511,1.08,7.714349503987907,0.04,0.02,1.04,0.00017404360488695002,0.11636363636363636,0.23,1.35,1.6238272433738583,1.67,0.09021262463188102,0.25,1.42,1.58,1.914470037659025,0.43639000557290275,6.081951768695343,9.262618229513238,2.976905879947526,0.7708904575253667,5.581989745839247,1400.5159519825067,0.0,0.48,16271767.169968136,1.08,34.26
deepseek-coder-1.3b-base,0.0,12.545240699811062,0.4931506849315068,11.986637814303347,0.0547945205479452,0.0273972602739726,1.0547945205479452,0.0006955556598999123,0.4863013698630137,0.6712328767123288,1.7123287671232876,5.727873990696343,2.493150684931507,0.3182152217053523,0.684931506849315,1.8082191780821917,2.3835616438356166,4.208374257450523,0.5376143708804404,8.642283945931053,8.92559563896557,2.150330237162347,0.7452109820078339,5.022628249196482,1066.3907492820088,0.0,0.1643835616438356,170635.46126358412,1.1095890410958904,54.06849315068493
Qwen2.5-Coder-3B-Instruct,0.0,9.184964985530934,0.15,7.696290520942544,0.0,0.0,1.01,5.7462284471514e-05,0.065,0.11,0.95,0.25019550008653874,1.09,0.013899750004807703,0.11,0.98,1.06,0.5094436251225966,0.45051120686915147,5.614061590485092,9.179435569517716,2.6199698141172383,0.7812768956235269,5.608521538400501,1279.5575383315568,0.0,0.04,40371.9491276349,1.02,31.53
deepseek-coder-7b-base-v1.5,0.0,12.289688167674031,0.1956521739130435,9.535937809139403,0.06521739130434782,0.021739130434782608,1.0217391304347827,0.0001141059127213337,0.10326086956521739,0.18478260869565216,1.25,0.6508076410970349,1.4673913043478262,0.036155980060946384,0.18478260869565216,1.2826086956521738,1.434782608695652,1.1698825052509858,0.5421684384442029,8.818594637206296,8.894245940338456,1.9866782245078174,0.7864117608896338,5.423141773834149,727.5857541113994,0.0,0.06521739130434782,1375731.120888962,1.0434782608695652,29.08695652173913
Qwen2.5-Coder-7B,0.0,8.539533428066957,1.6326530612244898,5.466107840224405,0.08163265306122448,0.04081632653061224,1.0408163265306123,0.00023428866308238572,0.1326530612244898,0.20408163265306123,1.3265306122448979,2.830059949789052,1.836734693877551,0.15722555276605849,0.2653061224489796,1.5714285714285714,1.530612244897959,2.070492602379318,0.3768318096348199,4.811989274672605,9.107815451197599,2.6558642663684395,0.7661136778021661,5.38026066174065,780.9124671413174,0.0,0.7551020408163265,13363684.330682311,1.0816326530612246,38.224489795918366
deepseek-coder-7b-instruct-v1.5,0.0,11.087463657057357,0.631578947368421,8.966167279198054,0.0,0.0,1.0,7.955386368891317e-05,0.07894736842105263,0.10526315789473684,1.1578947368421053,0.4672338816358808,1.2894736842105263,0.025957437868660036,0.10526315789473684,1.1842105263157894,1.263157894736842,1.0988128290043018,0.4990370055980527,7.520106191018084,9.069396970184702,2.673305364794832,0.7717287196689208,5.502028868097109,1324.8267484560238,0.0,0.3157894736842105,188419.06573142787,1.0,30.263157894736842
CodeLlama-7B-Kexer,0.0,11.843707041234982,2.1666666666666665,6.62660429751936,0.3333333333333333,0.16666666666666666,1.1666666666666667,0.0003929937723386334,0.3055555555555556,0.16666666666666666,2.0555555555555554,3.6788489416040897,2.5555555555555554,0.20438049675578276,0.2222222222222222,2.3333333333333335,2.2222222222222223,3.479399471282816,0.438620879908313,7.9345470911932034,11.415852371268656,3.029074572866614,0.7787307050270074,7.506681785203739,1130582.4024679216,0.0,0.7777777777777778,265975.247275648,1.3333333333333333,42.888888888888886
