model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
Qwen2.5-Coder-0.5B-Instruct,0.0,11.483500706880648,1.438095238095238,9.365976340888478,0.4095238095238095,0.10476190476190476,1.2380952380952381,0.0020636507897459173,0.8214285714285714,0.29523809523809524,1.5238095238095237,77.7308865318267,2.8476190476190477,4.318382585101483,0.638095238095238,2.2095238095238097,1.819047619047619,5.536376231289915,0.5238599398374444,7.80987984185291,8.78815333281933,1.9122323963393828,0.7632419905711357,5.114521831920119,1143.597719149448,0.0,0.34285714285714286,106253.8708191357,1.6761904761904762,47.17142857142857
Qwen2.5-Coder-1.5B-Instruct,0.008130081300813009,10.354409079121487,2.4227642276422765,8.32185030132249,0.5772357723577236,0.17073170731707318,1.3739837398373984,0.0037279919592258944,1.377371273712737,0.5934959349593496,2.186991869918699,115.67064893787817,4.382113821138211,6.426147163215454,1.0975609756097562,3.2845528455284554,2.7804878048780486,11.485890510601378,0.5035097249274466,6.622919416558056,9.139638973678489,2.513581785908763,0.7620705575228434,5.408138675494604,1132.286606552785,0.0,0.6504065040650406,11450.921273953914,1.934959349593496,56.59349593495935
Mellum-4b-base,0.010869565217391304,10.638171735918833,3.0543478260869565,9.345051435142812,0.8260869565217391,0.2717391304347826,1.565217391304348,0.00416952983954833,1.501762187088274,0.7391304347826086,1.8695652173913044,130.63134155537492,4.695652173913044,7.257296753076384,1.5326086956521738,3.1630434782608696,2.608695652173913,12.547643641242678,0.5065220601696486,6.890343139366557,8.620464512627626,1.7241690256358524,0.7539422798333951,4.872625280553961,604.580314458797,0.0,0.6413043478260869,38202.69709325428,2.4456521739130435,61.45652173913044
deepseek-coder-6.7B-kexer,0.06060606060606061,10.505310269762804,6.833333333333333,8.152623812880549,2.4805555555555556,0.6515151515151515,2.3181818181818183,0.009284955210682809,3.727272727272727,0.8787878787878788,3.772727272727273,318.20767355907344,8.803030303030303,17.67820408661519,1.893939393939394,6.909090909090909,4.651515151515151,25.409612893674836,0.4673219903191712,6.301213855483769,8.882552112907966,1.54303024215329,0.7207478538127842,4.678445063437481,577.1883625706048,0.0,1.4393939393939394,4465196.250931697,4.757575757575758,91.77272727272727
Qwen2.5-Coder-3B,0.0,10.219306861197,4.1875,7.405984277018476,0.9765625000000001,0.375,1.671875,0.006591129805239715,2.1684275793650793,0.734375,2.3828125,263.3191076037495,5.84375,14.628839311319418,1.8046875,4.0390625,3.1171875,17.47101868712289,0.44365698361644124,6.243120355342726,9.346372367660527,2.5503387393345736,0.751690243002102,5.370175226157763,1436.441532374086,0.0,0.9453125,150172.9524057182,2.7265625,74.6796875
Qwen2.5-Coder-7B-Instruct,0.007462686567164179,10.68504708513519,4.552238805970149,7.654335160001095,0.8733001658374793,0.3582089552238806,1.6865671641791045,0.006244802133513186,2.004353233830846,0.8731343283582089,2.417910447761194,202.68317278289985,6.708955223880597,11.260176265716662,1.8880597014925373,4.82089552238806,3.291044776119403,19.781001610201393,0.45706710340129764,6.60975909826145,9.545582829934574,2.4631250466113856,0.7467870504392002,5.470284207422342,2464.1081227484715,0.0,1.1567164179104477,7894.796429953882,2.873134328358209,82.36567164179104
deepseek-coder-6.7b-instruct,0.00847457627118644,9.483090968228584,2.9491525423728815,6.701759067731839,0.6412429378531074,0.1864406779661017,1.3389830508474576,0.004088894076760766,1.4389830508474575,0.3983050847457627,2.0338983050847457,156.18439054756033,4.38135593220339,8.676910585975573,1.0677966101694916,3.3135593220338984,2.4322033898305087,10.953583936776493,0.41789807682858476,5.631150396251017,8.841162031881666,1.9756812629858393,0.7545606610768804,4.989210824110342,654.5279234992003,0.0,0.9322033898305084,9902.644381859669,1.847457627118644,58.95762711864407
kt_source,0.065,4.565568664566899,17.19,1.0640466512905333,2.3895929971988794,1.575,3.565,0.03961195875912067,7.638666291619131,2.675,5.135,2785.813386579649,27.88,154.76741036553605,8.225,19.655,7.81,111.05147462378758,0.0,0.0,9.862284597738862,2.1244363853029644,0.7022670778317643,5.29670529812527,2223.767350559502,0.04,3.515,27.44461465555015,7.73,338.28
deepseek-coder-6.7b-base,0.013888888888888888,9.948808580079252,5.333333333333333,8.539702332304294,1.4282407407407407,0.4305555555555556,1.9166666666666667,0.010742043080403262,3.223148148148148,0.7777777777777778,2.625,491.6294124403538,8.069444444444445,27.312745135575213,2.5416666666666665,5.527777777777778,3.4027777777777777,25.565178450409853,0.4833939957991638,6.026558429037009,8.247749463652568,1.0748844091698284,0.7410097168267661,4.325488677125339,405.7745583720023,0.0,1.2361111111111112,7159.953556959795,3.6527777777777777,90.43055555555556
CodeLlama-7b-Instruct-hf,0.013071895424836602,10.138825829073786,4.078431372549019,8.826724621103123,0.9575163398692811,0.32679738562091504,1.5816993464052287,0.006355860653633918,2.1478510596157654,0.8627450980392157,2.052287581699346,327.9655496833498,5.718954248366013,18.220308315741654,1.8627450980392157,3.8562091503267975,2.915032679738562,16.967975454479102,0.5028775615563975,6.366097434618391,8.958203601466902,2.4725119949754104,0.755091562862273,5.18546457183344,985.4496300455772,0.0,1.1372549019607843,17580.664094953063,2.588235294117647,60.830065359477125
deepseek-coder-1.3b-instruct,0.0,10.711556761629787,2.5,8.545331714777939,0.5597014925373134,0.16417910447761194,1.3208955223880596,0.00427470611504359,1.6850124378109452,0.5298507462686567,2.082089552238806,181.11166992510636,4.298507462686567,10.061759440283689,1.291044776119403,3.0074626865671643,2.611940298507463,10.541291750878496,0.49677535653198074,6.85262029555588,8.777999641387037,1.847940995609702,0.7485963469276878,4.9190525398513465,727.2251524471162,0.0,0.6791044776119403,292397.0129502021,1.7985074626865671,60.634328358208954
CodeLlama-7b-hf,0.023809523809523808,9.8079458054336,4.484126984126984,7.974965578306505,1.0820105820105819,0.36507936507936506,1.7380952380952381,0.007245261963291878,2.066832440046726,0.7936507936507936,2.2936507936507935,354.0065358604515,6.626984126984127,19.66702977002508,2.1984126984126986,4.428571428571429,3.0873015873015874,19.519545711565968,0.4441469219380381,5.917312509972169,8.9184846022753,2.4112920795484296,0.7500189963277064,5.0278406711010915,1027.0160382282209,0.0,1.0952380952380953,12915632.407013033,2.9365079365079363,71.92857142857143
