model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
deepseek-coder-6.7B-kexer,0.11428571428571428,12.398177989728579,11.914285714285715,10.672962785356416,4.534761904761905,1.2,3.4285714285714284,0.01720157665362178,6.85,1.5142857142857142,5.914285714285715,595.2367254949464,15.228571428571428,33.06870697194147,3.4,11.82857142857143,7.428571428571429,46.26672002766047,0.5485218035578787,7.740372494035169,8.656974967900142,0.605259184568115,0.6760282907474293,3.999158837803747,471.6637074631778,0.0,2.3142857142857145,120168.35211282037,7.942857142857143,143.97142857142856
kt_source,0.13,5.2791939895483635,33.17,1.7137580107954116,4.769185994397759,3.14,6.12,0.07918736523143688,15.232332583238263,5.26,8.89,5571.476675409254,54.26,309.5264819671808,16.36,37.9,14.15,220.8978514975319,0.0,0.0,8.313039930938347,0.5629700730066265,0.6236024145647653,3.0338353074744075,353.0160201071204,0.08,6.44,40.2186025935081,14.44,641.51
Qwen2.5-Coder-3B,0.0,10.63444257223199,16.25,9.048861343527806,4.428571428571429,1.6785714285714286,3.9285714285714284,0.0297472407403186,9.582454648526078,2.9642857142857144,6.571428571428571,1200.832187047658,21.785714285714285,66.71289928042545,7.821428571428571,13.964285714285714,9.535714285714286,75.78276713602693,0.4687383722234285,5.741214290524921,8.364147115173013,0.8212005327361629,0.6590353234217705,3.4709081992366473,406.2648573658692,0.0,3.142857142857143,13354.007453452108,8.607142857142858,209.57142857142858
Qwen2.5-Coder-1.5B-Instruct,0.04,10.375328624134092,10.8,8.689858166415592,2.84,0.84,2.76,0.018105239185896304,6.516666666666667,2.6,5.16,567.965216773899,15.48,31.55362315410551,5.08,10.4,7.76,51.25085181080301,0.5299906644750702,5.7995031271183635,8.444174702490274,0.8336852460652555,0.6705537584848742,3.868338571553785,442.326913259761,0.0,2.76,8816.700699714722,5.44,155.52
deepseek-coder-6.7b-instruct,0.05555555555555555,9.494815100299414,12.444444444444445,7.99317823092941,3.981481481481482,1.1111111111111112,3.111111111111111,0.026558733314730767,9.183333333333332,2.111111111111111,5.333333333333333,1022.6249060893218,20.055555555555557,56.812494782740096,6.5,13.555555555555555,7.444444444444445,64.45879122406308,0.45865041307134735,4.803908010722627,8.223330587802243,0.5180324929159098,0.6686035718127544,3.5324128639407903,522.8278866787965,0.0,2.8333333333333335,4114.686796164109,6.333333333333333,199.22222222222223
deepseek-coder-6.7b-base,0.047619047619047616,9.643164072727796,17.047619047619047,8.30760395862817,4.84920634920635,1.4285714285714286,4.0476190476190474,0.03661952363737003,10.907936507936508,2.4761904761904763,6.238095238095238,1683.7442009854938,24.571428571428573,93.54134449919411,8.523809523809524,16.047619047619047,8.714285714285714,85.69514813926007,0.46470795638479795,4.931333145741114,7.465991268416339,-0.2636491975441251,0.6576932181645642,2.7541497072525543,198.32371985816414,0.0,3.761904761904762,3356.097685727191,9.904761904761905,231.0
Qwen2.5-Coder-7B-Instruct,0.029411764705882353,10.52142831728059,15.764705882352942,8.821723092372457,3.4418300653594773,1.411764705882353,3.7058823529411766,0.024466834450576874,7.723039215686276,3.176470588235294,6.0,798.1994261882968,22.558823529411764,44.3444125660165,7.176470588235294,15.382352941176471,9.176470588235293,75.27616333119104,0.4582999414314219,5.680886086663,8.14605089006992,0.6778816849062631,0.665146735148718,3.30549802501551,330.79891969639374,0.0,3.4705882352941178,7748.590200890472,8.382352941176471,214.91176470588235
Mellum-4b-base,0.04,11.548330049548195,11.24,10.052333331725853,3.04,1.0,3.08,0.015214064487307338,5.366484848484848,2.44,4.44,480.1429459236066,14.52,26.67460810686703,5.32,9.2,6.88,45.35493759959997,0.564341128645575,7.03317371101571,8.038736346908417,0.24852980642441877,0.6791706416474852,3.5235693743754437,443.25686536856944,0.0,2.36,20134.03183979566,6.32,149.88
CodeLlama-7b-Instruct-hf,0.03773584905660377,10.676268264608366,9.641509433962264,10.678020995262694,2.688679245283019,0.9056603773584906,2.6226415094339623,0.01819733452659147,6.0494568324757,2.2641509433962264,3.2452830188679247,945.9599901234964,13.50943396226415,52.553332784638684,5.150943396226415,8.358490566037736,5.509433962264151,46.087662396579546,0.6268025756258699,6.743420141298532,8.358132552409176,1.668903371635555,0.7257884672317831,4.425273795590969,375.36817017823535,0.0,2.30188679245283,35077.93760754096,5.471698113207547,111.64150943396227
deepseek-coder-1.3b-instruct,0.0,10.587509008215509,7.382352941176471,10.30472097623585,2.2058823529411766,0.6470588235294118,2.2058823529411766,0.016051413048583877,6.077205882352941,1.588235294117647,3.764705882352941,704.854007602283,11.705882352941176,39.15855597790462,4.5,7.205882352941177,5.352941176470588,35.53744369267296,0.5870472996672025,6.2049047374359505,7.89015653799727,0.3520640608794239,0.6835419677430219,3.507541633469114,282.3871019302228,0.0,1.5294117647058822,347062.47948849684,4.029411764705882,136.7941176470588
CodeLlama-7b-hf,0.11538461538461539,9.69385224859561,17.615384615384617,8.831953727266477,5.089743589743589,1.6923076923076923,4.384615384615385,0.03439956138301763,9.56863553113553,2.9615384615384617,5.846153846153846,1708.660620445116,25.692307692307693,94.92559002472866,9.73076923076923,15.961538461538462,8.807692307692308,87.1283098417554,0.4647666242363989,4.993176467995501,7.799439795326095,0.1927651735949928,0.6681993585847725,3.098753380331101,264.6235378537837,0.0,3.5384615384615383,8753.92733675684,10.0,216.84615384615384
CodeLlama-7B-KStack-clean,0.15384615384615385,11.395718858337762,21.17948717948718,9.950299337407014,4.832193732193732,1.7179487179487178,4.17948717948718,0.03496810274864449,10.342114367114368,5.3076923076923075,5.666666666666667,1790.024346207704,29.17948717948718,99.4457970115391,10.615384615384615,18.564102564102566,10.974358974358974,107.96414102369944,0.5250277309618064,6.731252291511021,7.69611230240907,0.2978208050009716,0.6889909735139264,3.0316351016233827,228.8819362385939,0.0,5.666666666666667,231411.54222324616,9.871794871794872,215.51282051282053
deepseek-coder-1.3B-kexer,0.046511627906976744,15.621830084509623,11.44186046511628,12.922211492941582,3.994186046511628,1.2325581395348837,3.4186046511627906,0.01153104828423392,4.11169837914024,2.488372093023256,4.930232558139535,323.1507215740455,14.0,17.952817865224752,3.7674418604651163,10.232558139534884,7.4186046511627906,43.17219629506455,0.6425199592997181,10.972619662712683,9.367118387966455,1.2934435032202267,0.6776586442732772,4.717897332304079,12199.652950659794,0.0,2.0697674418604652,1815106.7867254117,7.72093023255814,132.06976744186048
CodeLlama-7B-KStack,0.24,9.643476356604912,16.32,9.210787620322085,4.191333333333334,1.84,3.92,0.03278815707656352,9.986190476190478,2.68,5.48,1598.1865822209418,22.96,88.78814345671898,8.56,14.4,8.16,77.64680119486329,0.48885172881113875,4.997715715980488,7.679598566600196,-0.009963055946539229,0.6630887946970319,3.0338272918158333,230.6458520274073,0.0,3.4,10508.247673398713,9.32,219.56
deepseek-coder-1.3b-base,0.0,10.614317160502694,8.741935483870968,9.5888968870056,3.1505376344086025,0.8387096774193549,2.7096774193548385,0.013171724041764586,4.87316715542522,2.7096774193548385,3.806451612903226,425.9071361208756,12.35483870967742,23.661507562270867,4.935483870967742,7.419354838709677,6.516129032258065,39.212878432560274,0.5805203789786129,6.241324445841781,7.637544796691718,-0.053162156784955006,0.6827399309514351,3.264541447997605,215.96134247671358,0.0,1.6451612903225807,13639.322191272599,5.806451612903226,135.83870967741936
Qwen2.5-Coder-3B-Instruct,0.09302325581395349,9.603420252029952,12.44186046511628,8.01396262836158,3.3841085271317835,1.0930232558139534,3.116279069767442,0.019205690787916153,6.335981912144702,3.116279069767442,5.232558139534884,604.6759579457154,18.348837209302324,33.593108774761966,6.186046511627907,12.162790697674419,8.348837209302326,62.24137860170215,0.4773429680776117,4.973928145090259,7.956113793352042,0.40213765368111015,0.6678078159827917,3.3266110522094707,315.48295621025966,0.0,2.7906976744186047,9338.032983120338,6.441860465116279,193.67441860465115
deepseek-coder-7b-instruct-v1.5,0.06976744186046512,10.093043179971653,14.906976744186046,8.956721152999574,3.3372093023255816,1.0,3.302325581395349,0.021826320002777226,7.375968992248061,2.372093023255814,5.441860465116279,739.2685342350878,20.441860465116278,41.07047412417154,6.232558139534884,14.209302325581396,7.813953488372093,66.09333441501363,0.48791156893225346,5.454775700830286,7.9705096455295275,0.4381420662396939,0.6726792817841181,3.3322315322520297,309.43541730127686,0.0,3.8372093023255816,7628.618122851437,7.162790697674419,194.72093023255815
Qwen2.5-Coder-0.5B-Instruct,0.0,12.523510587996714,11.727272727272727,10.173859276622466,3.909090909090909,1.0,3.090909090909091,0.01919864833290214,7.295454545454546,1.9090909090909092,4.181818181818182,739.4225771215232,15.636363636363637,41.07903206230685,5.181818181818182,10.454545454545455,6.090909090909091,45.15590834327873,0.5744093586648712,7.980932409381079,8.248550600425482,0.12175688861967827,0.6794249398805875,3.705961787383043,549.2702079701736,0.0,2.5454545454545454,908114.5103906479,7.090909090909091,173.36363636363637
deepseek-coder-7b-base-v1.5,0.09090909090909091,12.104246806421274,13.227272727272727,9.296601565799044,5.011363636363637,1.2727272727272727,3.5,0.025211463348799038,8.281818181818181,2.090909090909091,5.0,1397.2303736042857,17.045454545454547,77.62390964468251,5.454545454545454,11.590909090909092,7.090909090909091,54.249043011885334,0.5516298838590057,7.662615492972418,7.83716779035492,0.07912672129380603,0.680480152632529,3.3955258426550228,2631.6270607297106,0.0,2.8181818181818183,443420.78900380473,7.818181818181818,165.1818181818182
CodeLlama-7B-Kexer,0.0625,18.527367967720043,8.0,11.470894529962713,1.375,0.375,2.375,0.0068962704827127625,2.690104166666667,1.4375,4.5,131.7113290040356,10.125,7.317296055779755,1.9375,8.1875,5.9375,30.201703753209,0.7120422624228553,14.528213905468158,12.914954516766654,0.38557175440964225,0.7406570187450561,8.91578982072895,125000521973.4365,0.0,1.8125,125000280057.5613,4.375,95.125
Qwen2.5-Coder-7B,0.0,9.88167207004886,16.083333333333332,8.269584221014533,3.1527777777777772,1.0,3.5833333333333335,0.022846801246561247,8.170833333333333,2.0833333333333335,6.416666666666667,678.6610366869905,21.583333333333332,37.70339092705503,5.583333333333333,16.0,8.5,69.34842161879386,0.42775952164135883,5.087537456014273,8.058105112189033,0.5532959178969706,0.6750374254352104,3.2639598634567535,326.98923160276644,0.0,3.75,16463.137748236222,7.25,206.75
