field,repo_count
kt_source,97
CodeLlama-7b-hf,94
CodeLlama-7B-KStack,94
CodeLlama-7b-Instruct-hf,92
Qwen2.5-Coder-3B-Instruct,92
deepseek-coder-1.3b-instruct,92
Qwen2.5-Coder-7B-Instruct,92
Qwen2.5-Coder-3B,91
CodeLlama-7B-KStack-clean,90
Qwen2.5-Coder-0.5B-Instruct-KExercises-KStack-clean-bytecode-4bit-lora,90
deepseek-coder-1.3b-instruct-KExercises-KStack-clean-bytecode-4bit-lora,90
deepseek-coder-7b-base-v1.5,89
deepseek-coder-1.3B-kexer,88
deepseek-coder-1.3b-base,87
Qwen2.5-Coder-0.5B-Instruct,84
Mellum-4b-base,82
Qwen2.5-Coder-1.5B-Instruct,77
deepseek-coder-6.7B-kexer,66
deepseek-coder-6.7b-instruct,66
deepseek-coder-6.7b-base,59
Qwen2.5-Coder-7B,47
deepseek-coder-7b-instruct-v1.5,33
CodeLlama-7B-Kexer,6
Qwen2.5-Coder-1.5B,0
