,number,value,datetime_start,datetime_complete,duration,params_clip,params_grad_acc,params_lora_alpha,params_lora_dropout,params_r,params_weight_decay,state
0,0,39.86313713804245,2025-05-18 21:47:40.838521,2025-05-18 22:22:39.344889,0 days 00:34:58.506368,0.2592246449215704,128,32,0.09499841222419227,8,0.01218956864606875,COMPLETE
1,1,39.86313713804245,2025-05-18 22:22:39.440611,2025-05-18 23:00:28.071934,0 days 00:37:48.631323,0.6527143323304366,128,128,0.018428428198050073,8,0.09282220193026515,COMPLETE
2,2,32.93221952161156,2025-05-18 23:00:28.205582,2025-05-18 23:36:02.962280,0 days 00:35:34.756698,0.7677758952614882,64,128,0.00965755495970252,8,0.032843095338553806,COMPLETE
3,3,39.86313713804245,2025-05-18 23:36:03.094787,2025-05-19 00:13:55.892534,0 days 00:37:52.797747,0.42665706918600865,256,64,0.06302013140876468,8,0.07378436832877273,COMPLETE
4,4,39.86313713804245,2025-05-19 00:13:56.017770,2025-05-19 00:49:21.899555,0 days 00:35:25.881785,0.5015430469596251,128,128,0.0382131103110398,8,0.08520510933020026,COMPLETE
5,5,39.86313713804245,2025-05-19 00:49:22.015557,2025-05-19 01:27:14.301719,0 days 00:37:52.286162,0.6109198409210725,64,32,0.07571991684218628,8,0.053978086964497976,COMPLETE
6,6,39.86313713804245,2025-05-19 01:27:14.386786,2025-05-19 02:02:07.861532,0 days 00:34:53.474746,0.6736037698706604,256,32,0.044725866707292006,8,0.07141726689382612,COMPLETE
7,7,39.86313713804245,2025-05-19 02:02:07.971281,2025-05-19 02:39:35.478300,0 days 00:37:27.507019,0.5225139321832558,128,64,0.03378997167241304,32,0.0568621863486412,COMPLETE
8,8,39.86313713804245,2025-05-19 02:39:35.616387,2025-05-19 03:14:48.746182,0 days 00:35:13.129795,0.1401981661300458,128,16,0.04329477188097796,8,0.027709263434491673,COMPLETE
9,9,39.86313713804245,2025-05-19 03:14:48.763947,2025-05-19 03:54:12.915456,0 days 00:39:24.151509,0.18048185257539856,256,128,0.08420838259313831,8,0.016289322205823287,COMPLETE
10,10,39.86313713804245,2025-05-19 03:54:12.933221,2025-05-19 04:31:18.719838,0 days 00:37:05.786617,0.6246897385688248,64,128,0.019224111366463723,8,0.007794234161922715,COMPLETE
11,11,39.86313713804245,2025-05-19 04:31:18.739615,2025-05-19 05:10:15.678644,0 days 00:38:56.939029,0.40253490223317023,128,32,0.08698857121253357,8,0.03466894956755611,COMPLETE
12,12,43.487058696046304,2025-05-19 05:10:15.810997,2025-05-19 06:17:36.166028,0 days 01:07:20.355031,0.12423866441671413,128,64,0.07993860904106848,64,0.003632206764636074,COMPLETE
13,13,39.86313713804245,2025-05-19 06:17:36.185793,2025-05-19 06:50:17.235452,0 days 00:32:41.049659,0.8247586134060774,64,128,0.014489286733727954,16,0.06651924651811716,COMPLETE
14,14,39.86313713804245,2025-05-19 06:50:17.332958,2025-05-19 07:21:45.250628,0 days 00:31:27.917670,0.741998774548525,256,32,0.08235379639572818,8,0.003282808475540272,COMPLETE
15,15,39.86313713804245,2025-05-19 07:21:45.386132,2025-05-19 07:52:53.224182,0 days 00:31:07.838050,0.9564114893390072,128,16,0.006146063517498556,8,0.04152902402657594,COMPLETE
16,16,39.86313713804245,2025-05-19 07:52:53.324182,2025-05-19 08:24:08.862305,0 days 00:31:15.538123,0.1787419451956036,128,32,0.09566094912536717,16,0.008034142604233262,COMPLETE
17,17,10.181768911409875,2025-05-19 08:24:08.981814,2025-05-19 08:58:28.502719,0 days 00:34:19.520905,0.661885443224024,32,128,0.007795485828342087,8,0.05139018308480038,COMPLETE
18,18,10.639180526002821,2025-05-19 08:58:28.621736,2025-05-19 09:48:20.014154,0 days 00:49:51.392418,0.6349684198624688,32,128,0.0030247272026227992,64,0.040933246034352416,COMPLETE
19,19,8.713278057739284,2025-05-19 09:48:20.077713,2025-05-19 10:21:40.498596,0 days 00:33:20.420883,0.6721791415907646,32,128,0.006543715559461535,32,0.05122415173267794,COMPLETE
20,20,10.633811763709755,2025-05-19 10:21:40.626913,2025-05-19 10:54:57.443492,0 days 00:33:16.816579,0.7173654434005007,32,128,0.03513057609560202,32,0.06145883812693855,COMPLETE
21,21,12.409197943060438,2025-05-19 10:54:57.487542,2025-05-19 11:28:14.825827,0 days 00:33:17.338285,0.5881041311554657,32,128,0.035283661714294326,32,0.06474035890287752,COMPLETE
22,22,39.86313713804245,2025-05-19 11:28:14.895828,2025-05-19 12:00:58.796337,0 days 00:32:43.900509,0.7888173692230491,32,32,0.022155623883422623,32,0.05258063189482775,COMPLETE
23,23,12.142882711690369,2025-05-19 12:00:58.873895,2025-05-19 12:34:12.477696,0 days 00:33:13.603801,0.9781444538611626,32,128,0.06703559817357944,32,0.06139903511790524,COMPLETE
24,24,36.297461780415986,2025-05-19 12:34:12.556663,2025-05-19 13:08:13.580738,0 days 00:34:01.024075,0.7558829885591241,32,64,0.01862964054320356,8,0.0678801525822186,COMPLETE
25,25,39.86313713804245,2025-05-19 13:08:13.723044,2025-05-19 13:40:51.720720,0 days 00:32:37.997676,0.7709580053784979,32,16,0.0075450861685401535,32,0.08860397212381729,COMPLETE
26,26,39.86313713804245,2025-05-19 13:40:51.837721,2025-05-19 14:12:26.935532,0 days 00:31:35.097811,0.5536273211695864,32,16,0.005851423779838014,16,0.036713337075307086,COMPLETE
27,27,11.949273728296388,2025-05-19 14:12:27.049824,2025-05-19 14:46:38.928467,0 days 00:34:11.878643,0.8395961961743261,32,128,0.006419373011765985,8,0.06263345374783048,COMPLETE
28,28,39.86313713804245,2025-05-19 14:46:39.022975,2025-05-19 15:18:18.902764,0 days 00:31:39.879789,0.4776378433343098,32,32,0.0003978761200379849,8,0.04782052744955207,COMPLETE
29,29,39.86313713804245,2025-05-19 15:18:19.013779,2025-05-19 15:50:10.119258,0 days 00:31:51.105479,0.9075397735288648,128,128,0.033702191159220594,32,0.02796647498796139,COMPLETE
