,number,value,datetime_start,datetime_complete,duration,params_clip,params_grad_acc,params_lora_alpha,params_lora_dropout,params_r,params_weight_decay,state
0,0,39.86313713811043,2025-05-18 21:46:56.278503,2025-05-18 22:11:33.254527,0 days 00:24:36.976024,0.6515025608438941,64,64,0.03119193394222002,32,0.06540414802670812,COMPLETE
1,1,9.236856816968784,2025-05-18 22:11:33.281339,2025-05-18 22:39:16.758517,0 days 00:27:43.477178,0.14910127488017846,32,128,0.06457086389716167,32,0.028154316530908788,COMPLETE
2,2,39.86313713811043,2025-05-18 22:39:16.780773,2025-05-18 23:07:25.374781,0 days 00:28:08.594008,0.6658750763278448,64,16,0.0691990608158849,64,0.05407462328199974,COMPLETE
3,3,6.890852721003799,2025-05-18 23:07:25.396379,2025-05-18 23:34:46.350362,0 days 00:27:20.953983,0.6218097435905104,32,64,0.010085910334948135,8,0.009281929012449076,COMPLETE
4,4,39.86313713811043,2025-05-18 23:34:46.371281,2025-05-19 00:01:59.110928,0 days 00:27:12.739647,0.8360568500475328,64,64,0.08618889624737297,16,0.00107354189399147,COMPLETE
5,5,39.86313713811043,2025-05-19 00:01:59.132910,2025-05-19 00:30:18.018878,0 days 00:28:18.885968,0.20920887276414896,32,32,0.09359011633778322,64,0.0335112458167263,COMPLETE
6,6,39.86313713811043,2025-05-19 00:30:18.039880,2025-05-19 00:57:30.928569,0 days 00:27:12.888689,0.3566376949816785,64,32,0.01132436892822093,32,0.09119199519084042,COMPLETE
7,7,39.86313713811043,2025-05-19 00:57:30.949991,2025-05-19 01:25:43.373145,0 days 00:28:12.423154,0.844008198619407,64,16,0.016489997353233598,64,0.05862036835128448,COMPLETE
8,8,39.86313713811043,2025-05-19 01:25:43.398276,2025-05-19 01:54:10.630812,0 days 00:28:27.232536,0.6738566381925709,64,64,0.08479484727386098,16,0.08039529542945247,COMPLETE
9,9,39.86313713811043,2025-05-19 01:54:10.662902,2025-05-19 02:22:50.107228,0 days 00:28:39.444326,0.35808912165475726,64,64,0.008938599303117035,32,0.03201662367114241,COMPLETE
10,10,9.236856816968784,2025-05-19 02:22:50.144049,2025-05-19 02:51:44.218039,0 days 00:28:54.073990,0.5866173788391282,32,128,0.019294926987564923,8,0.0370363483014095,COMPLETE
11,11,39.86313713811043,2025-05-19 02:51:44.233755,2025-05-19 03:20:15.222969,0 days 00:28:30.989214,0.12723290983099644,256,128,0.0727239442658014,32,0.03190784122792111,COMPLETE
12,12,39.86313713811043,2025-05-19 03:20:15.248227,2025-05-19 03:48:30.819644,0 days 00:28:15.571417,0.7616764894213538,128,64,0.022521210556284935,8,0.013683200977020669,COMPLETE
13,13,39.86313713811043,2025-05-19 03:48:30.859229,2025-05-19 04:17:53.858211,0 days 00:29:22.998982,0.24976896303344287,32,16,0.041324185244794046,64,0.02980060759386649,COMPLETE
14,14,6.691595779277249,2025-05-19 04:17:53.873924,2025-05-19 04:47:04.836795,0 days 00:29:10.962871,0.5424610688593201,32,128,0.08244273367926236,32,0.012213884443334024,COMPLETE
15,15,6.851022614297168,2025-05-19 04:47:04.855945,2025-05-19 05:16:20.884179,0 days 00:29:16.028234,0.7531276819408039,32,128,0.08627230473627885,32,0.03021325169547322,COMPLETE
16,16,6.851022614297168,2025-05-19 05:16:20.899999,2025-05-19 05:45:26.193601,0 days 00:29:05.293602,0.8994009388961143,32,128,0.09937323556966886,32,0.029046239507729162,COMPLETE
17,17,8.481133650703606,2025-05-19 05:45:26.217592,2025-05-19 06:14:11.198857,0 days 00:28:44.981265,0.49100302672305657,32,128,0.08027070164663008,8,0.04744382539710452,COMPLETE
18,18,39.86313713811043,2025-05-19 06:14:11.220041,2025-05-19 06:42:17.176161,0 days 00:28:05.956120,0.5944657873116406,128,128,0.0965330005185388,8,0.0011376401323297328,COMPLETE
19,19,39.86313713811043,2025-05-19 06:42:17.198736,2025-05-19 07:09:19.010790,0 days 00:27:01.812054,0.5989386950151138,32,16,0.06500229501807256,32,0.0013113487758818418,COMPLETE
20,20,39.86313713811043,2025-05-19 07:09:19.031449,2025-05-19 07:36:11.782817,0 days 00:26:52.751368,0.7906540768141563,128,32,0.09889424071528999,32,0.05663173763123154,COMPLETE
21,21,7.373611405996895,2025-05-19 07:36:11.803819,2025-05-19 08:03:52.623021,0 days 00:27:40.819202,0.9693444293680038,32,128,0.08033204953338684,32,0.024296375333977563,COMPLETE
22,22,9.236856816968784,2025-05-19 08:03:52.645214,2025-05-19 08:31:29.707722,0 days 00:27:37.062508,0.5390344630842532,32,128,0.09372971282623745,32,0.02444994276124368,COMPLETE
23,23,6.851022614297168,2025-05-19 08:31:29.730821,2025-05-19 08:58:43.331155,0 days 00:27:13.600334,0.6623595113658136,32,128,0.06396045856683193,16,0.007940549839719025,COMPLETE
24,24,39.86313713811043,2025-05-19 08:58:43.353029,2025-05-19 09:25:56.520417,0 days 00:27:13.167388,0.807475343815782,256,16,0.09634690564506823,32,0.03753140668652491,COMPLETE
25,25,10.282799803767412,2025-05-19 09:25:56.542800,2025-05-19 09:54:44.797231,0 days 00:28:48.254431,0.8630592988789075,32,64,0.07607191801600169,64,0.04805544819391576,COMPLETE
26,26,6.851022614297168,2025-05-19 09:54:44.819740,2025-05-19 10:22:35.580785,0 days 00:27:50.761045,0.9008261848524622,32,128,0.05668253879514502,32,0.07766520752825583,COMPLETE
27,27,39.86313713811043,2025-05-19 10:22:35.601737,2025-05-19 10:51:06.541939,0 days 00:28:30.940202,0.9208942703309208,32,32,0.09587837463807286,64,0.019721595053650592,COMPLETE
28,28,39.86313713811043,2025-05-19 10:51:06.563361,2025-05-19 11:18:19.590734,0 days 00:27:13.027373,0.542450318032805,256,128,0.053528177443523436,32,0.0013001487456434698,COMPLETE
29,29,43.487058696046304,2025-05-19 11:18:19.611598,2025-05-19 11:45:39.275889,0 days 00:27:19.664291,0.841792628746953,64,128,0.09360544675058763,32,0.04804128382989038,COMPLETE
